OBJECTID,ANCHORNAME,ADDRESS,BLDGNBR,PREDIR,STREETNAME,STREETTYPE,SUFFDIR,CITY,STATECODE,ZIP5,ZIP4,LATITUDE,LONGITUDE,CAICAT,BBSERVICE,PublicWifi,URL,TRANSTECH,FULLFIPSID,CAIID,SubScrbDow,SubSrbUP,confidence
39,MCKINLEY,"1 Colonnade Pl Newark, NJ 07104-1810 United States",1,,Colonnade Pl Newark,,,Newark,NJ,7104,,40.750439,-74.177811,1,Y,N,www.nps.k12.nj.us/MCK,50,3.4013E+14,3.41134E+11,11,10,3
43,NEWARK LEADERSHIP ACADEMY,"301 W Kinney St Newark, NJ 07103-2927 United States",301,,W Kinney St Newark,,,Newark,NJ,7103,,40.73256,-74.19107,1,Y,N,www.nps.k12.nj.us/NLA,50,3.4013E+14,3.41134E+11,11,10,3
50,RAFAEL HERNANDEZ SCHOOL,"345 Broadway Newark, NJ 07104-6021 United States",345,,Broadway Newark,,,Newark,NJ,7104,,40.762194,-74.167618,1,Y,N,www.nps.k12.nj.us/HER,50,3.4013E+14,3.41134E+11,11,10,3
51,ROBERTO CLEMENTE ELEMENTARY SCHOOL,"257 Summer Ave Newark, NJ 07104-2717 United States",257,,Summer Ave Newark,,,Newark,NJ,7104,,40.760761,-74.170776,1,Y,N,www.nps.k12.nj.us/ROC,50,3.4013E+14,3.41134E+11,11,10,3
58,SECAUCUS MIDDLE SCHOOL,"11 Millridge Rd Secaucus, NJ 07094-4303 United States",11,,Millridge Rd Secaucus,,,Secaucus,NJ,7094,,40.801971,-74.05072,1,Y,N,www.sboe.us,50,3.4017E+14,3.41485E+11,9,9,3
61,WASHINGTON ELEMENTARY SCHOOL,"289 Main St West Orange, NJ 07052-5633 United States",289,,Main St West Orange,,,West Orange,NJ,7052,,40.787348,-74.231378,1,Y,N,http://schools.woboe.org/Schools/Washington/Pages/default.aspx,50,3.4013E+14,3.41761E+11,10,10,3
71,DR LENA EDWARDS ACADEMIC CHARTER SCHOOL,"509 Bramhall Ave Jersey City, NJ 07304-2730 United States",509,,Bramhall Ave Jersey City,,,Jersey City,NJ,7304,,40.714117,-74.072656,1,Y,U,,-999,3.4017E+14,3.40076E+11,10,ZZ,3
72,A.R.C. ESSEX CO. STEPPING STONES,"19 Harrison Avenue, Roseland, NJ 07068, USA",19,,"Harrison Avenue, Roseland",,,Roseland,NJ,7068,,40.821588,-74.290235,1,Y,U,,-999,3.4013E+14,A9104279,7,ZZ,3
81,BURCH CHARTER SCHOOL OF EXCELLENCE,"100 Linden Ave Irvington, NJ 07111-2560 United States",100,,Linden Ave Irvington,,,Irvington,NJ,7111,,40.730133,-74.227135,1,Y,U,,-999,3.4013E+14,3.40072E+11,10,ZZ,3
97,HORIZON HIGH SCHOOL,"71 Okner Pkwy Livingston, NJ 07039-1603 United States",71,,Okner Pkwy Livingston,,,Livingston,NJ,7039,,40.803612,-74.352707,1,Y,U,,-999,3.4013E+14,ZZZZ,7,ZZ,3
98,JERSEY CITY COMMUNITY CHARTER SCHOOL,"128 Danforth Ave Jersey City, NJ 07305-2626 United States",128,,Danforth Ave Jersey City,,,Jersey City,NJ,7305,,40.696102,-74.091078,1,Y,U,,-999,3.4017E+14,3.40003E+11,9,ZZ,3
99,JERSEY CITY GOLDEN DOOR CHARTER SCHOOL,"180 9th St Jersey City, NJ 07302-1703 United States",180,,9th St Jersey City,,,Jersey City,NJ,7302,,40.727982,-74.041298,1,Y,U,,-999,3.4017E+14,3.40003E+11,7,ZZ,3
106,LEARNING COMMUNITY CHARTER SCHOOL,"2495 John F Kennedy Blvd Jersey City, NJ 07304-2007 United States",2495,,John F Kennedy Blvd Jersey City,,,Jersey City,NJ,7304,,40.72277,-74.07523,1,Y,U,,-999,3.4017E+14,3.40004E+11,8,ZZ,3
133,THE CHILDREN'S INSTITUTE - HIGH SCHOOL,"6 Regent St Livingston, NJ 07039-1615 United States",6,,Regent St Livingston,,,Livingston,NJ,7039,,40.800449,-74.352203,1,Y,U,,-999,3.4013E+14,ZZZZ,8,ZZ,3
134,THE ETHICAL COMMUNITY CHARTER SCHOO,"75 Broadway Jersey City, NJ 07306-6302 United States",75,,Broadway Jersey City,,,Jersey City,NJ,7306,,40.73592,-74.071251,1,Y,U,,-999,3.4017E+14,3.40073E+11,10,ZZ,3
137,UNIVERSITY HEIGHTS CHARTER SCHOOL,"74 Hartford St Newark, NJ 07103-2832 United States",74,,Hartford St Newark,,,Newark,NJ,7103,,40.744924,-74.187743,1,Y,U,,-999,3.4013E+14,3.40008E+11,9,ZZ,3
148,BRANCH BROOK BRANCH,"235 CLIFTON AVENUE, NEWARK, NJ 07104",235,,CLIFTON AVENUE,,,NEWARK,NJ,7104,,40.757859,-74.176301,2,Y,U,,-999,3.4013E+14,NJ0122003,9,7,2
160,BRANCH BROOK SCHOOL,"228 Ridge St Newark, NJ 07104-1204 United States",228,,Ridge St Newark,,,Newark,NJ,7104,,40.760664,-74.175898,1,Y,N,www.nps.k12.nj.us/BRB,50,3.4013E+14,3.41134E+11,11,10,3
161,BURNET STREET SCHOOL,"28 Burnet St Newark, NJ 07102-2102 United States",28,,Burnet St Newark,,,Newark,NJ,7102,,40.746141,-74.173645,1,Y,N,www.nps.k12.nj.us/BUR,50,3.4013E+14,3.41134E+11,11,10,3
165,CLARENDON NO 4,"685 5th St Secaucus, NJ 07094-3004 United States",685,,5th St Secaucus,,,Secaucus,NJ,7094,,40.78952,-74.065933,1,Y,N,www.sboe.us,50,3.4017E+14,3.41485E+11,9,9,3
182,LAFAYETTE STREET SCHOOL,"205 Lafayette St Newark, NJ 07105-1843 United States",205,,Lafayette St Newark,,,Newark,NJ,7105,,40.729439,-74.16349,1,Y,N,www.nps.k12.nj.us/LAF,50,3.4013E+14,3.41134E+11,11,10,3
185,MT VERNON PLACE SCHOOL,"142 Mount Vernon Pl Newark, NJ 07106-3143 United States",142,,Mount Vernon Pl Newark,,,Newark,NJ,7106,,40.73756,-74.244392,1,Y,N,www.nps.k12.nj.us/MTV,50,3.4013E+14,3.41134E+11,11,10,3
186,NEWARK BRIDGES HIGH SCHOOL: A DIPLOMA PLUS SCHOOL,"321 Bergen St Newark, NJ 07103-2639 United States",321,,Bergen St Newark,,,Newark,NJ,7103,,40.73494,-74.194763,1,Y,N,www.nps.k12.nj.us/BNA,50,3.4013E+14,3.41134E+11,11,10,3
187,NEWARK HYBRID HIGH SCHOOL,"200 Washington St Newark, NJ 07102-2921 United States",200,,Washington St Newark,,,Newark,NJ,7102,,40.738085,-74.17392,1,Y,N,www.nps.k12.nj.us/HYB,50,3.4013E+14,3.41134E+11,11,10,3
194,ROOSEVELT MIDDLE SCHOOL,"36 Gilbert Pl West Orange, NJ 07052-3948 United States",36,,Gilbert Pl West Orange,,,West Orange,NJ,7052,,40.771384,-74.257358,1,Y,N,http://schools.woboe.org/Schools/RMS/Pages/default.aspx,50,3.4013E+14,3.41761E+11,10,10,3
195,ROSEVILLE AVENUE SCHOOL,"70 Roseville Ave Newark, NJ 07107-2143 United States",70,,Roseville Ave Newark,,,Newark,NJ,7107,,40.753071,-74.191933,1,Y,U,,50,3.4013E+14,3.41134E+11,ZZ,ZZ,3
199,SCIENCE PARK HIGH SCHOOL,"40 Rector St Newark, NJ 07102-4512 United States",40,,Rector St Newark,,,Newark,NJ,7102,,40.741189,-74.167303,1,Y,N,www.nps.k12.nj.us/SCI,50,3.4013E+14,3.41134E+11,11,10,3
200,SETH BOYDEN ELEMENTARY DEMONSTRATION SCHOOL,"574 Boyden Ave Maplewood, NJ 07040-3033 United States",574,,Boyden Ave Maplewood,,,Maplewood,NJ,7040,,40.715534,-74.253111,1,Y,U,,50,3.4013E+14,3.41533E+11,7,ZZ,3
203,THIRTEENTH AVENUE SCHOOL,"359 13th Ave Newark, NJ 07103-2125 United States",359,,13th Ave Newark,,,Newark,NJ,7103,,40.74221,-74.19795,1,Y,N,www.nps.k12.nj.us/13A,50,3.4013E+14,3.41134E+11,11,10,3
207,WEEQUAHIC HIGH SCHOOL,"279 Chancellor Ave Newark, NJ 07112-1201 United States",279,,Chancellor Ave Newark,,,Newark,NJ,7112,,40.708809,-74.220284,1,Y,N,www.nps.k12.nj.us/WEQ,50,3.4013E+14,3.41134E+11,11,10,3
209,WEST SIDE HIGH SCOOL,"403 S Orange Ave Newark, NJ 07103-1924 United States",403,,S Orange Ave Newark,,,Newark,NJ,7103,,40.741379,-74.203682,1,Y,N,www.nps.k12.nj.us/WSD,50,3.4013E+14,3.41134E+11,11,10,3
211,WILSON AVENUE SCHOOL,"19 Wilson Ave Newark, NJ 07105-3214 United States",19,,Wilson Ave Newark,,,Newark,NJ,7105,,40.727428,-74.155113,1,Y,N,www.nps.k12.nj.us/WLS,50,3.4013E+14,3.41134E+11,11,10,3
217,1ST CEREBRAL PALSY OF NJ,"7 Sanford Ave Belleville, NJ 07109-1221 United States",7,,Sanford Ave Belleville,,,Belleville,NJ,7109,,40.786949,-74.176651,1,Y,U,,-999,3.4013E+14,2043767,8,ZZ,3
219,ADELAIDE L. SANFORD CHARTER SCHOOL,"53 Lincoln Park Newark, NJ 07102-2390 United States",53,,Lincoln Park Newark,,,Newark,NJ,7102,,40.726841,-74.179581,1,Y,U,,-999,3.4013E+14,3.40072E+11,7,ZZ,3
222,BANYAN SCHOOL,"12 Hollywood Ave Fairfield, NJ 07004-1101 United States",12,,Hollywood Ave Fairfield,,,Fairfield,NJ,7004,,40.877079,-74.315086,1,Y,U,,-999,3.4013E+14,A9502740,8,ZZ,3
231,DERON SCHOOL II,"130 Grove St Montclair, NJ 07042-4022 United States",130,,Grove St Montclair,,,Montclair,NJ,7042,,40.815997,-74.207092,1,Y,U,,-999,3.4013E+14,A9104322,9,ZZ,3
257,MILLBURN HIGH SCHOOL,"462 Millburn Ave Millburn, NJ 07041-1368 United States",462,,Millburn Ave Millburn,,,Millburn,NJ,7041,,40.72121,-74.316834,1,Y,U,,-999,3.4013E+14,3.4102E+11,11,ZZ,3
268,THE CHILDREN'S INSTITUTE,"1 Sunset Ave Verona, NJ 07044-5118 United States",1,,Sunset Ave Verona,,,Verona,NJ,7044,,40.824459,-74.228851,1,Y,U,,-999,3.4013E+14,2043734,7,ZZ,3
272,THERAPEUTIC SCHOOL AND PRESCHOOL,"570 Belleville Ave Belleville, NJ 07109-1308 United States",570,,Belleville Ave Belleville,,,Belleville,NJ,7109,,40.794269,-74.172584,1,Y,U,,-999,3.4013E+14,ZZZZ,10,ZZ,3
276,WEST CALDWELL TECH,"620 Passaic Ave West Caldwell, NJ 07006-6718 United States",620,,Passaic Ave West Caldwell,,,West Caldwell,NJ,7006,,40.853321,-74.29332,1,Y,U,,-999,3.4013E+14,3.4048E+11,10,ZZ,3
297,SPRINGFIELD BRANCH,"150 NEWTON STREET, NEWARK, NJ 07103",150,,NEWTON STREET,,,NEWARK,NJ,7103,,40.737191,-74.189933,2,Y,U,,-999,3.4013E+14,NJ0122011,9,7,2
299,WEEQUAHIC BRANCH,"355 OSBORNE TERR., NEWARK, NJ 07112",355,,OSBORNE TERR.,,,NEWARK,NJ,7112,,40.711025,-74.211373,2,Y,U,,-999,3.4013E+14,NJ0122014,9,7,2
302,ALEXANDER STREET SCHOOL,"43 Alexander St Newark, NJ 07106-1904 United States",43,,Alexander St Newark,,,Newark,NJ,7106,,40.743721,-74.224731,1,Y,N,www.nps.k12.nj.us/ALX,50,3.4013E+14,3.41134E+11,11,10,3
304,ARTS HIGH SCHOOL,"550 Martin Luther King Junior Boulevard, Newark, NJ 07102, USA",550,,"Martin Luther King Junior Boulevard, Newark",,,Newark,NJ,7102,,40.7326685,-74.1811299,1,Y,N,www.nps.k12.nj.us/ART,50,3.4013E+14,3.41134E+11,11,10,3
311,CLINTON ELEMENTARY SCHOOL,"27 Berkshire Rd Maplewood, NJ 07040-1429 United States",27,,Berkshire Rd Maplewood,,,Maplewood,NJ,7040,,40.73402,-74.255623,1,Y,U,,50,3.4013E+14,3.41533E+11,7,ZZ,3
314,DISCOVERY CHARTER SCHOOL,"303 Washington St Newark, NJ 07102-2718 United States",303,,Washington St Newark,,,Newark,NJ,7102,,40.734539,-74.176163,1,Y,Y,discoverylearningcenter.org,30,3.4013E+14,3.40002E+11,5,5,3
315,DR WILLIAM H HORTON ELEMENTARY SCHOOL,"291 N 7th St Newark, NJ 07107-1751 United States",291,,N 7th St Newark,,,Newark,NJ,7107,,40.760158,-74.187302,1,Y,N,www.nps.k12.nj.us/HOR,50,3.4013E+14,3.41134E+11,11,10,3
316,FOURTEENTH AVENUE SCHOOL,"186 14th Ave Newark, NJ 07103-2128 United States",186,,14th Ave Newark,,,Newark,NJ,7103,,40.73872,-74.19951,1,Y,N,www.nps.k12.nj.us/14A,50,3.4013E+14,3.41134E+11,11,10,3
322,HOBOKEN CHARTER SCHOOL,"713 Washington St Hoboken, NJ 07030-5001 United States",713,,Washington St Hoboken,,,Hoboken,NJ,7030,,40.745331,-74.028503,1,Y,U,,-999,3.4017E+14,3.40003E+11,10,ZZ,3
325,JOHN F KENNEDY SCHOOL,"311 S 10th St Newark, NJ 07103-2114 United States",311,,S 10th St Newark,,,Newark,NJ,7103,,40.742042,-74.199892,1,Y,N,www.nps.k12.nj.us/JFK,50,3.4013E+14,3.41134E+11,11,10,3
338,NEWARK EARLY COLLEGE,"66 Muhammad Ali Blvd Newark, NJ 07108 United States",66,,Muhammad Ali Blvd Newark,,,Newark,NJ,7108,,40.72602,-74.18753,1,Y,U,,50,3.4013E+14,ZZZZ,6,ZZ,3
339,NEWARK VOCATIONAL HIGH SCHOOL,"301 W Kinney St Newark, NJ 07103-2927 United States",301,,W Kinney St Newark,,,Newark,NJ,7103,,40.73256,-74.19107,1,Y,N,www.nps.k12.nj.us/NWV,50,3.4013E+14,3.41134E+11,11,10,3
342,PARK ELEMENTARY SCHOOL,"380 Verona Ave Newark, NJ 07104-1711 United States",380,,Verona Ave Newark,,,Newark,NJ,7104,,40.78429,-74.170769,1,Y,N,www.nps.k12.nj.us/PRK,50,3.4013E+14,3.41134E+11,11,10,3
345,PLEASANTDALE ELEMENTARY SCHOOL,"555 Pleasant Valley Way West Orange, NJ 07052-2832 United States",555,,Pleasant Valley Way West Orange,,,West Orange,NJ,7052,,40.80717,-74.261732,1,Y,N,http://schools.woboe.org/Schools/Pleasantdale/Pages/default.aspx,50,3.4013E+14,3.41761E+11,10,10,3
354,SECAUCUS HIGH SCHOOL,"Millridge Road, Secaucus, NJ 07094, USA",N/A,,MILLRIDGE ROAD,,,Secaucus,NJ,7094,,40.8019763,-74.0466566,1,Y,N,www.sboe.us,50,3.4017E+14,3.41485E+11,9,9,3
358,TECHNOLOGY HIGH SCHOOL,"187 Broadway Newark, NJ 07104-3914 United States",187,,Broadway Newark,,,Newark,NJ,7104,,40.757381,-74.169724,1,Y,N,www.nps.k12.nj.us/TEC,50,3.4013E+14,3.41134E+11,11,10,3
366,CLINTON BRANCH,"739 BERGEN ST., NEWARK, NJ 07108",739,,BERGEN ST.,,,NEWARK,NJ,7108,,40.718532,-74.201426,2,Y,U,,-999,3.4013E+14,NJ0122005,9,7,2
393,GLENVIEW ACADEMY,"24 Dwight Pl Fairfield, NJ 07004-3304 United States",24,,Dwight Pl Fairfield,,,Fairfield,NJ,7004,,40.872582,-74.289978,1,Y,U,,-999,3.4013E+14,A1192076,10,ZZ,3
395,GLENWOOD SCHOOL,"325 Taylor Rd S Short Hills, NJ 07078-2315 United States",325,,Taylor Rd S Short Hills,,,Short Hills,NJ,7078,,40.726379,-74.331497,1,Y,U,,-999,3.4013E+14,3.4102E+11,11,ZZ,3
398,HARTSHORN SCHOOL,"400 Hartshorn Dr Short Hills, NJ 07078-1962 United States",400,,Hartshorn Dr Short Hills,,,Short Hills,NJ,7078,,40.732842,-74.340553,1,Y,U,,-999,3.4013E+14,3.4102E+11,11,ZZ,3
403,JJC ESSEX COUNTY DETENTION CENTER,"80 Duryea St Newark, NJ 07103-2814 United States",80,,Duryea St Newark,,,Newark,NJ,7103,,40.747841,-74.185749,1,Y,U,,-999,3.4013E+14,3.40009E+11,4,ZZ,3
408,LIBERTY ACADEMY CHARTER SCHOOL,"211 Sherman Ave Jersey City, NJ 07307-2040 United States",211,,Sherman Ave Jersey City,,,Jersey City,NJ,7307,,40.74791,-74.044847,1,Y,U,,-999,3.4017E+14,3.40003E+11,11,ZZ,3
418,NEW BEGINNINGS,"277 Fairfield Rd, Ste 325 Fairfield, NJ 07004-1929 United States",277,,Fairfield Rd,,,Fairfield,NJ,7004,,40.880981,-74.287962,1,Y,U,,-999,3.4013E+14,A0902188,10,ZZ,3
422,NEWARK LEGACY CHARTER SCHOOL,"16 Roosevelt Pl Montclair, NJ 07042-3316 United States",16,,Roosevelt Pl Montclair,,,Montclair,NJ,7042,,40.811161,-74.216614,1,Y,U,,-999,3.4013E+14,3.40074E+11,10,ZZ,3
424,NORTH STAR ACADEMY CHARTER SCHOOLS OF NEWARK - VAILSBURG CAMPUS,"24 Hazelwood Ave Newark, NJ 07106-1629 United States",24,,Hazelwood Ave Newark,,,Newark,NJ,7106,,40.744991,-74.233131,1,Y,U,,-999,3.4013E+14,ZZZZ,7,ZZ,3
436,SOARING HEIGHTS,"1 Romar Ave Jersey City, NJ 07305-1713 United States",1,,Romar Ave Jersey City,,,Jersey City,NJ,7305,,40.6978,-74.100616,1,Y,U,,-999,3.4017E+14,3.40004E+11,9,ZZ,3
453,MADISON AREA LIBRARY,"790 CLINTON AVENUE, NEWARK, NJ 07108",790,,CLINTON AVENUE,,,NEWARK,NJ,7108,,40.7231,-74.213782,2,Y,U,,-999,3.4013E+14,NJ0122007,9,7,2
457,VAN BUREN BRANCH,"140 VAN BUREN STREET, NEWARK, NJ 07105",140,,VAN BUREN STREET,,,NEWARK,NJ,7105,,40.727813,-74.157591,2,Y,U,,-999,3.4013E+14,NJ0122013,9,7,2
473,EAGLE ACADEMY,"66 Muhammad Ali Ave Newark, NJ 07108-2914 United States",66,,Muhammad Ali Ave Newark,,,Newark,NJ,7108,,40.72602,-74.18753,1,Y,U,,50,3.4013E+14,ZZZZ,ZZ,ZZ,3
476,FIRST AVENUE SCHOOL,"214 1st Avenue, Newark, NJ 07107, USA",214,,"1st Avenue, Newark",,,Newark,NJ,7107,,40.7677676,-74.1818328,1,Y,N,www.nps.k12.nj.us/o1a,50,3.4013E+14,3.41134E+11,11,10,3
479,GEORGE WASHINGTON CARVER ELEMENTARY SCHOOL,"333 Clinton Pl Newark, NJ 07112-1563 United States",333,,Clinton Pl Newark,,,Newark,NJ,7112,,40.712318,-74.215324,1,Y,N,www.nps.k12.nj.us/CAR,50,3.4013E+14,3.41134E+11,11,10,3
482,HARRIET TUBMAN ELEMENTARY SCHOOL,"504 S 10th St Newark, NJ 07103-1802 United States",504,,S 10th St Newark,,,Newark,NJ,7103,,40.735117,-74.202596,1,Y,N,www.nps.k12.nj.us/TUB,50,3.4013E+14,3.41134E+11,11,10,3
488,LIBERTY MIDDLE SCHOOL,"1 Kelly Dr West Orange, NJ 07052-1402 United States",1,,Kelly Dr West Orange,,,West Orange,NJ,7052,,40.793042,-74.283634,1,Y,N,http://schools.woboe.org/SCHOOLS/LMS/Pages/default.aspx,50,3.4013E+14,3.41761E+11,10,10,3
490,LUIS MUNOZ MARIN ELEMENTARY SCHOOL,"663 Broadway Newark, NJ 07104-3401 United States",663,,Broadway Newark,,,Newark,NJ,7104,,40.77294,-74.16107,1,Y,N,www.nps.k12.nj.us/MAR,50,3.4013E+14,3.41134E+11,11,10,3
499,MILLER STREET SCHOOL,"41 Miller St Newark, NJ 07114-1750 United States",41,,Miller St Newark,,,Newark,NJ,7114,,40.720787,-74.186134,1,Y,N,www.nps.k12.nj.us/MIL,50,3.4013E+14,3.41134E+11,11,10,3
500,NEWARK EVENING HIGH,"403 South Orange Ave Newark, NJ 07103-1924 United States",403,,South Orange Ave Newark,,,Newark,NJ,7103,,40.741279,-74.20344,1,Y,N,www.nps.k12.nj.us/NES,50,3.4013E+14,ZZZZ,11,10,3
501,NORTH STAR ACADEMY CHARTER SCHOOLS OF NEWARK - DOWNTOWN MIDDLE SCHOOL,"10 Washington Pl Newark, NJ 07102-3106 United States",10,,Washington Pl Newark,,,Newark,NJ,7102,,40.742401,-74.169777,1,Y,N,www.northstaracademy.org,50,3.4013E+14,3.40E+11,7,ZZ,3
509,SAMUEL L BERLINER,"70 Montgomery St Newark, NJ 07103-4111 United States",70,,Montgomery St Newark,,,Newark,NJ,7103,,40.730139,-74.185946,1,Y,N,www.nps.k12.nj.us/BER,50,3.4013E+14,3.41134E+11,11,10,3
516,SOUTH MOUNTAIN ELEMENTARY/ANNEX,"444 South Orange Ave South Orange, NJ 07079 United States",444,,South Orange Ave South Orange,,,South Orange,NJ,7079,,40.744644,-74.246552,1,Y,U,,50,3.4013E+14,3.41533E+11,7,ZZ,3
518,SOUTH STREET ELEMENTARY SCHOOL,"151 South St Newark, NJ 07114-2611 United States",151,,South St Newark,,,Newark,NJ,7114,,40.722221,-74.171898,1,Y,N,www.nps.k12.nj.us/SOU,50,3.4013E+14,3.41134E+11,11,10,3
519,SPEEDWAY AVENUE SCHOOL,"26 Speedway Ave Newark, NJ 07106-2209 United States",26,,Speedway Ave Newark,,,Newark,NJ,7106,,40.743439,-74.213509,1,Y,N,www.nps.k12.nj.us/SPD,50,3.4013E+14,3.41134E+11,11,10,3
529,WEST ORANGE HIGH SCHOOL,"51 Conforti Ave West Orange, NJ 07052-2829 United States",51,,Conforti Ave West Orange,,,West Orange,NJ,7052,,40.80625,-74.25761,1,Y,N,http://schools.woboe.org/Schools/WOHS/Pages/default.aspx,50,3.4013E+14,3.41761E+11,10,10,3
537,ADLAI E. STEVENSON,"15 Knoll Rd Fairfield, NJ 07004-1211 United States",15,,Knoll Rd Fairfield,,,Fairfield,NJ,7004,,40.879855,-74.316965,1,Y,U,,-999,3.4013E+14,3.40501E+11,7,ZZ,3
547,CONCORDIA LEARNING CENTER,"761 Summit Ave Jersey City, NJ 07307-3831 United States",761,,Summit Ave Jersey City,,,Jersey City,NJ,7307,,40.741854,-74.055258,1,Y,U,,-999,3.4017E+14,ZZZZ,10,ZZ,3
550,DEERFIELD SCHOOL,"26 Troy Ln Short Hills, NJ 07078-1304 United States",26,,Troy Ln Short Hills,,,Short Hills,NJ,7078,,40.751919,-74.31366,1,Y,U,,-999,3.4013E+14,3.4102E+11,11,ZZ,3
577,M.E.T.S. CHARTER SCHOOL,"180 9th St Jersey City, NJ 07302-1703 United States",180,,9th St Jersey City,,,Jersey City,NJ,7302,,40.727982,-74.041298,1,Y,U,,-999,3.4017E+14,3.40075E+11,9,ZZ,3
578,MARION P. THOMAS CHARTER SCHOOL,"370 S 7th St Newark, NJ 07103-2047 United States",370,,S 7th St Newark,,,Newark,NJ,7103,,40.735748,-74.199478,1,Y,U,,-999,3.4013E+14,3.40002E+11,10,ZZ,3
587,NORTH STAR ACADEMY CHARTER SCHOOLS OF NEWARK - COLLEGE PREPARATORY HIGH SCHOOL,"13 Central Ave Newark, NJ 07102-3101 United States",13,,Central Ave Newark,,,Newark,NJ,7102,,40.741638,-74.169861,1,Y,U,,-999,3.4013E+14,ZZZZ,7,ZZ,3
588,NORTH STAR ACADEMY CHARTER SCHOOLS OF NEWARK - FAIRMOUNT CAMPUS,"108 S 9th St Newark, NJ 07107-1425 United States",108,,S 9th St Newark,,,Newark,NJ,7107,,40.747927,-74.195955,1,Y,U,,-999,3.4013E+14,ZZZZ,7,ZZ,3
589,NORTH STAR ACADEMY CHARTER SCHOOLS OF NEWARK - WEST SIDE PARK CAMPUS,"557 15th Ave Newark, NJ 07103-1614 United States",557,,15th Ave Newark,,,Newark,NJ,7103,,40.73831,-74.20553,1,Y,U,,-999,3.4013E+14,ZZZZ,7,ZZ,3
615,ELMWOOD BRANCH,"317 S. CLINTON ST., EAST ORANGE, NJ 07017",317,,S. CLINTON ST.,,,EAST ORANGE,NJ,7017,,40.755361,-74.222114,2,Y,U,,-999,3.4013E+14,NJ0114004,10,7,2
621,NORTH END BRANCH,"722 SUMMER AVENUE, NEWARK, NJ 07104",722,,SUMMER AVENUE,,,NEWARK,NJ,7104,,40.776512,-74.162667,2,Y,U,,-999,3.4013E+14,NJ0122009,9,7,2
627,ELLIOTT STREET ELEMENTARY SCHOOL,"721 Summer Ave Newark, NJ 07104-3422 United States",721,,Summer Ave Newark,,,Newark,NJ,7104,,40.77648,-74.162678,1,Y,N,www.nps.k12.nj.us/ELL,50,3.4013E+14,3.41134E+11,11,10,3
